date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:24	21563/21563	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c36b5-543b%22	https://fenture.io/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor-pro/assets/js/frontend.mina560.js	(from https://fenture.io/)
01:55:26	40696/40696	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c32d2-9ef8%22	https://fenture.io/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/js/frontend.mina560.js	(from https://fenture.io/)
01:55:26	21438/21438	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226424ae64-53be%22	https://fenture.io/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/jquery/ui/core.min3f14.js	(from https://fenture.io/)
01:55:26	27177/27177	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c36b5-6a29%22	https://fenture.io/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor-pro/assets/js/elements-handlers.mina560.js	(from https://fenture.io/)
01:55:26	211480/211480	---M--	200	added ('OK')	application/octet-stream	etag:%22639c32d2-33a18%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.ttf	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:29	318907/318907	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22639c32d2-4ddbb%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.svg	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:30	2459/2459	UR-MCZ	200	added ('OK')	text/xml	date:Fri,%2006%20Oct%202023%2020:25:28%20GMT	https://fenture.io/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffenture.io%2Ftransparency%2F&format=xml	/home/adrish/websites/Vestivado/fenture.io/wp-json/oembed/1.0/embedb30d	(from https://fenture.io/transparency/)
01:55:30	211640/211640	URF---	200	added ('OK%20(cached)')	application/eot		https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.eot	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:30	2390/2390	UR-MCZ	200	added ('OK')	application/json	date:Fri,%2006%20Oct%202023%2020:25:28%20GMT	https://fenture.io/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffenture.io%2Ftransparency%2F	/home/adrish/websites/Vestivado/fenture.io/wp-json/oembed/1.0/embedb3d2.json	(from https://fenture.io/transparency/)
01:55:31	93372/93372	URF---	200	added ('OK%20(cached)')	application/woff2		https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff2	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
